name,url,remote_support,adaptive_support,duration,test_type,description
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,40,"['Knowledge & Skills']","Evaluates advanced Java debugging skills under time constraints, focusing on real-world problem-solving in software development environments. Assesses ability to identify and resolve complex code errors efficiently."
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,30,"['Knowledge & Skills']","Designed for entry-level candidates, this test measures proficiency in Java syntax, object-oriented programming principles, and basic algorithm implementation. Includes questions on inheritance, polymorphism, and exception handling."
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes,No,60,"['Competencies', 'Personality & Behaviour']","Combines technical aptitude with behavioral evaluation for mid-to-senior tech roles. Tests collaboration skills, problem-solving agility, and adaptability in fast-paced environments."
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,Yes,No,30,"['Verbal Ability']","Measures reading comprehension, vocabulary, and written communication skills. Critical for roles requiring report writing or client-facing communication."
Entry Level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Yes,No,45,"['Sales', 'Behavioral']","Evaluates foundational sales techniques, customer engagement strategies, and ability to handle objections in international markets. Includes scenarios on cross-cultural communication."
Motivation Questionnaire MQMS,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,60,"['Personality']","Assesses workplace motivators like achievement, autonomy, and work-life balance. Ideal for leadership roles to ensure cultural alignment."
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,Yes,No,30,"['Digital Marketing']","Tests technical SEO knowledge including keyword research, on-page optimization, and Google Analytics interpretation. Validates expertise for digital marketing roles."
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,Yes,Yes,50,"['Testing']","Focuses on manual QA methodologies like test case design, defect tracking, and regression testing. Includes hands-on scenarios for software testing roles."
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,35,"['Administrative']","Evaluates clerical accuracy, data entry speed, and familiarity with financial terminology. Tailored for banking and finance support roles."
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,Yes,No,45,"['Cognitive']","Measures logical reasoning through pattern recognition and sequence analysis. Critical for analytical roles like data scientists or engineers."
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,50,"['Knowledge & Skills']","Covers core CS concepts: algorithms, data structures, and system design. Validates theoretical knowledge for software engineering positions."
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,60,"['Personality & Behaviour']","Comprehensive personality assessment measuring traits like resilience, influence, and innovation. Used for executive roles like COO."
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No,25,"['Administrative']","Tests typing speed (WPM), accuracy, and basic spreadsheet navigation. Designed for administrative support candidates."
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,40,"['Knowledge & Skills']","Assesses understanding of Agile frameworks (Scrum/Kanban), sprint planning, and iterative development processes."
SVAR - Spoken English (Indian Accent) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,Yes,No,20,"['Language']","Evaluates spoken English proficiency with focus on Indian accents. Includes role-plays for customer service and sales scenarios."
